tipo_muerte,zona,subzona,distrito,circuito,codigo_subcircuito,subcircuito,codigo_provincia,provincia,codigo_canton,canton,coordenada_y,coordenada_x,area_hecho,lugar,tipo_lugar,fecha_infraccion,hora_infraccion,arma,tipo_arma,presunta_motivacion,presun_motiva_observada,probable_causa_motivada,edad,medida_edad,sexo,genero,etnia,estado_civil,nacionalidad,discapacidad,profesion_registro_civil,instruccion,antecedentes
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,FLOR DE BASTIÓN,09D08C04S08,FLOR DE BASTIÓN 8,9,GUAYAS,901,GUAYAQUIL,"-209,515",-79.96461,URBANO,VÍA PÚBLICA,PUBLICO,31/12/2024,14:15:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,ROBO DE MOTOS,HERIDA POR ARMA DE FUEGO,18,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,BACHILLER,SIN_DATO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,FLOR DE BASTIÓN,09D08C04S08,FLOR DE BASTIÓN 8,9,GUAYAS,901,GUAYAQUIL,"-209,318",-79.96547,URBANO,VÍA PÚBLICA,PUBLICO,31/12/2024,07:45:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,30,A,HOMBRE,MASCULINO,MESTIZO/A,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,ESTEROS,MALVINAS NORTE,09D02C03S03,MALVINAS NORTE 3,9,GUAYAS,901,GUAYAQUIL,"-223,066",-79.91252,URBANO,VÍA PÚBLICA,PUBLICO,31/12/2024,21:15:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,24,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,FISICA,ESTUDIANTE,SIN_DATO,SIN_DATO
HOMICIDIO,ZONA 9,D.M. QUITO,ELOY ALFARO - DMQ,SOLANDA,17D06C06S04,SOLANDA 4,17,PICHINCHA,1701,QUITO,"-0,26821",-78.54247,URBANO,VÍA PÚBLICA,PUBLICO,31/12/2024,23:55:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,30,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,BASICA,SIN_DATO
HOMICIDIO,ZONA 1,SUCUMBÍOS,SHUSHUFINDI,LA PRIMAVERA,21D04C01S01,LA PRIMAVERA 1,21,SUCUMBÍOS,2104,SHUSHUFINDI,"-0,184",-76.6469,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,02:50:00,ARMA BLANCA,CUCHILLO,VIOLENCIA INTRAFAMILIAR,MALTRATO,HERIDA POR ARMA BLANCA,41,A,HOMBRE,MASCULINO,AFRO,NO DETERMINADO,ECUADOR,NINGUNA,VENDEDOR,BASICA,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,SUCRE,SAN ISIDRO,13D11C04S01,SAN ISIDRO 1,13,MANABÍ,1314,SUCRE,"-0,40256",-80.28376,RURAL,VÍA PÚBLICA,PUBLICO,30/12/2024,20:41:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,ROBO A PERSONAS,HERIDA POR ARMA DE FUEGO,61,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,EMPLEADO PARTICULAR,SIN_DATO,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,PORTOVIEJO,SAN PABLO,13D01C05S02,SAN PABLO 2,13,MANABÍ,1301,PORTOVIEJO,"-105,743",-80.44686,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,17:15:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,39,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SUPERIOR,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,MANTA,CENTRO,13D02C07S02,CENTRO 2,13,MANABÍ,1308,MANTA,"-0,95421",-80.72234,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,18:20:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,30,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,BACHILLERATO,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,MANTA,LOS BAJOS,13D02C15S01,LOS BAJOS 1,13,MANABÍ,1309,MONTECRISTI,"-106,828",-80.66165,RURAL,CASA DE CITAS,PRIVADO,30/12/2024,22:30:00,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,57,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,OBRERO,SIN_DATO,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,MANTA,LOS BAJOS,13D02C15S01,LOS BAJOS 1,13,MANABÍ,1309,MONTECRISTI,"-106,828",-80.66165,RURAL,CASA DE CITAS,PRIVADO,30/12/2024,22:30:00,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,31,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,FISICA,BACHILLER COMER-ADM,SIN_DATO,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,MANTA,LOS BAJOS,13D02C15S01,LOS BAJOS 1,13,MANABÍ,1309,MONTECRISTI,"-106,828",-80.66165,RURAL,CASA DE CITAS,PRIVADO,30/12/2024,22:30:00,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,39,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,EMPLEADO,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,GUAYAS,PLAYAS,PLAYAS,09D22C01S01,PLAYAS 1,9,GUAYAS,921,PLAYAS,"-263,718",-80.39139,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,17:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,51,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ABOGADO,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,GUAYAS,PLAYAS,PLAYAS,09D22C01S01,PLAYAS 1,9,GUAYAS,921,PLAYAS,"-263,718",-80.39139,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,17:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,19,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,GUAYAS,DAULE,LIMONAL,09D19C04S02,LIMONAL 2,9,GUAYAS,906,DAULE,"-179,081",-80.01447,RURAL,CASA/VILLA,PRIVADO,30/12/2024,22:50:00,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,38,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,JORNALERO,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,GUAYAS,DAULE,LIMONAL,09D19C04S02,LIMONAL 2,9,GUAYAS,906,DAULE,"-179,081",-80.01447,RURAL,CASA/VILLA,PRIVADO,30/12/2024,22:50:00,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,31,A,MUJER,FEMENINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,QUEHACER. DOMESTICOS,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,LOS RÍOS,VENTANAS,ZAPOTAL,12D04C02S01,ZAPOTAL 1,12,LOS RÍOS,1207,VENTANAS,"-143,214",-79.33098,URBANO,CASA/VILLA,PRIVADO,30/12/2024,14:30:00,ARMA BLANCA,CUCHILLO,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA BLANCA,47,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,LICENCIADO,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,LOS RÍOS,BABAHOYO,SAN JOSÉ DE JUJAN,12D01C01S01,SAN JOSÉ DE JUJAN 1,12,LOS RÍOS,1201,BABAHOYO,"-184,819",-79.55038,URBANO,NIGHT CLUBS,PRIVADO,30/12/2024,18:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,28,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,BACHILLER INFORMATIC,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,SANTA ELENA,LIBERTAD SALINAS,PUERTO AGUAJE,24D02C07S01,PUERTO AGUAJE 1,24,SANTA ELENA,2403,SALINAS,"-224,306",-80.93333,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,16:59:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,31,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,SANTA ELENA,LIBERTAD SALINAS,PUERTO AGUAJE,24D02C07S01,PUERTO AGUAJE 1,24,SANTA ELENA,2403,SALINAS,"-224,306",-80.93333,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,16:59:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,18,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO,SIN_DATO
HOMICIDIO,ZONA 6,CAÑAR,LA TRONCAL,TRONCAL CENTRO,03D03C02S01,TRONCAL CENTRO 1,3,CAÑAR,304,LA TRONCAL,"-243,086",-79.33916,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,00:30:00,ARMA BLANCA,CUCHILLO,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA BLANCA,24,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO,SIN_DATO
ASESINATO,ZONA 7,EL ORO,MACHALA,RAYITO DE LUZ,07D02C04S01,RAYITO DE LUZ 1,7,EL ORO,701,MACHALA,"-32,563",-79.93741,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,14:10:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,48,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,CHOFER PROFESIONAL,SIN_DATO,SIN_DATO
ASESINATO,ZONA 7,LOJA,LOJA,LA BANDA,11D01C16S01,LA BANDA 1,11,LOJA,1101,LOJA,"-390,354",-79.25343,RURAL,VÍA PÚBLICA,PUBLICO,30/12/2024,02:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,26,A,HOMBRE,MASCULINO,OTROS,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,BASICA,SIN_DATO
ASESINATO,ZONA 7,LOJA,LOJA,LA BANDA,11D01C16S01,LA BANDA 1,11,LOJA,1101,LOJA,"-390,354",-79.25343,RURAL,VÍA PÚBLICA,PUBLICO,30/12/2024,02:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,21,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,ESTEROS,TRINITARIA NORTE,09D02C04S04,TRINITARIA NORTE 4,9,GUAYAS,901,GUAYAQUIL,"-223,534",-79.93372,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,07:20:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,41,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,EMPLEADO,SIN_DATO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PORTETE,SALINAS,09D04C03S03,SALINAS 3,9,GUAYAS,901,GUAYAQUIL,"-219,374",-79.91564,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,14:13:00,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,TRAFICO INTERNOS DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,19,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,NINGUNA,SIN_DATO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,NUEVO GUAYAQUIL,09D08C06S02,NUEVO GUAYAQUIL 2,9,GUAYAS,901,GUAYAQUIL,"-210,603",-79.97467,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,08:30:00,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,TRAFICO INTERNOS DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,43,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,TEC.AUTOMOTRIZ,SIN_DATO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PASCUALES,PASCUALES,09D07C06S02,PASCUALES 2,9,GUAYAS,901,GUAYAQUIL,"-207,315",-79.92713,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,19:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,24,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,PARAÍSO LA FLOR,09D08C03S03,PARAÍSO LA FLOR 3,9,GUAYAS,901,GUAYAQUIL,"-210,202",-79.97298,URBANO,CASA/VILLA,PRIVADO,30/12/2024,21:00:00,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,43,A,HOMBRE,MASCULINO,MESTIZO/A,NO DETERMINADO,ECUADOR,NINGUNA,SIN_DATO,SIN_DATO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PASCUALES,PASCUALES,09D07C06S02,PASCUALES 2,9,GUAYAS,901,GUAYAQUIL,"-207,204",-79.92318,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,21:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,TRAFICO INTERNOS DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,29,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,PRIMARIA,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,PASCUALES,PASCUALES,09D07C06S02,PASCUALES 2,9,GUAYAS,901,GUAYAQUIL,"-207,204",-79.92318,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,21:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,TRAFICO INTERNOS DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,14,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,QUEHACER. DOMESTICOS,SIN_DATO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,9 DE OCTUBRE,GARAY,09D03C04S03,GARAY 3,9,GUAYAS,901,GUAYAQUIL,"-219,339",-79.90332,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,21:28:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,29,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,BACHILLERATO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,9 DE OCTUBRE,GARAY,09D03C04S03,GARAY 3,9,GUAYAS,901,GUAYAQUIL,"-219,339",-79.90332,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,21:28:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,63,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,COMERCIANTE,SIN_DATO,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,9 DE OCTUBRE,GARAY,09D03C04S03,GARAY 3,9,GUAYAS,901,GUAYAQUIL,"-218,993",-79.90713,URBANO,VÍA PÚBLICA,PUBLICO,30/12/2024,23:26:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,TRAFICO INTERNOS DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,34,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,MILITAR,BACHILLERATO,SIN_DATO
ASESINATO,ZONA 1,ESMERALDAS,ELOY ALFARO - ESM,SELVA ALEGRE,08D02C04S01,SELVA ALEGRE 1,8,ESMERALDAS,802,ELOY ALFARO,"0,97709",-78.89004,RURAL,CASA/VILLA,PRIVADO,29/12/2024,03:00:00,OTROS,NINGUNA,DELINCUENCIA COMÚN,AMENAZA,AHORCADURA,14,A,MUJER,FEMENINO,AFRO,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,EL CARMEN,EL PARAÍSO LA CATORCE,13D05C05S01,EL PARAÍSO LA CATORCE 1,13,MANABÍ,1304,EL CARMEN,"-0,35791",-79.43076,RURAL,FINCA,PRIVADO,29/12/2024,10:00:00,ARMA BLANCA,OTRO,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA BLANCA,35,A,HOMBRE,SIN_DATO,NO DETERMINADO,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,MANTA,LA PRADERA,13D02C02S03,LA PRADERA 3,13,MANABÍ,1308,MANTA,"-0,98009",-80.68812,URBANO,VÍA PÚBLICA,PUBLICO,29/12/2024,19:25:00,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,20,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,BACHILL. EN CIENCIAS,SIN_DATO,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,MANTA,LA PRADERA,13D02C02S03,LA PRADERA 3,13,MANABÍ,1308,MANTA,"-0,98009",-80.68812,URBANO,VÍA PÚBLICA,PUBLICO,29/12/2024,19:25:00,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,61,A,MUJER,FEMENINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,LICENCIADA,SIN_DATO,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,MANTA,LA PRADERA,13D02C02S03,LA PRADERA 3,13,MANABÍ,1308,MANTA,"-0,98009",-80.68812,URBANO,VÍA PÚBLICA,PUBLICO,29/12/2024,19:25:00,ARMA DE FUEGO,FUSIL,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,22,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,BACHILL. EN CIENCIAS,SIN_DATO,SIN_DATO
ASESINATO,ZONA 4,MANABÍ,MANTA,MONTECRISTI,13D02C19S02,MONTECRISTI 2,13,MANABÍ,1309,MONTECRISTI,"-104,576",-80.65889,URBANO,NIGHT CLUBS,PRIVADO,29/12/2024,01:00:00,ARMA DE FUEGO,OTROS ARMA LARGA,DELINCUENCIA COMÚN,AMENAZA,HERIDA POR ARMA DE FUEGO,46,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,JORNALERO,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,GUAYAS,DAULE,JUAN BAUTISTA AGUIRRE,09D19C02S01,JUAN BAUTISTA AGUIRRE 1,9,GUAYAS,906,DAULE,"-186,252",-79.97622,URBANO,VÍA PÚBLICA,PUBLICO,29/12/2024,02:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMÚN,TRAFICO INTERNOS DE DROGAS (MICROTRÁFICO),HERIDA POR ARMA DE FUEGO,31,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,EMPLEADO,SIN_DATO,SIN_DATO
